name_pais,Mundial,Selección,Posición,Etapa,PTS,PJ,PG,PE,PP,GF,GC,Dif
Alemania,1930,Alemania,0,no participó,0,0,0,0,0,0,0,0
Alemania,1934,Alemania,3,Partido 3er Puesto,6,4,3,0,1,11,8,3
Alemania,1938,Alemania,10,Octavos de Final,1,2,0,1,1,3,5,-2
Alemania,1950,Alemania Occidental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1954,Alemania Occidental,1,Final,10,6,5,0,1,25,14,11
Alemania,1958,Alemania Occidental,4,Partido 3er Puesto,6,6,2,2,2,12,14,-2
Alemania,1962,Alemania Occidental,7,Cuartos de Final,5,4,2,1,1,4,2,2
Alemania,1966,Alemania Occidental,2,Final,9,6,4,1,1,15,6,9
Alemania,1970,Alemania Occidental,3,Partido 3er Puesto,10,6,5,0,1,17,10,7
Alemania,1974,Alemania Occidental,1,Final,12,7,6,0,1,13,4,9
Alemania,1978,Alemania Occidental,6,Grupos 2da Ronda,6,6,1,4,1,10,5,5
Alemania,1982,Alemania Occidental,2,Final,8,7,3,2,2,12,10,2
Alemania,1986,Alemania Occidental,2,Final,8,7,3,2,2,8,7,1
Alemania,1990,Alemania Occidental,1,Final,12,7,5,2,0,15,5,10
Alemania,1994,Alemania,5,Cuartos de Final,10,5,3,1,1,9,7,2
Alemania,1998,Alemania,7,Cuartos de Final,10,5,3,1,1,8,6,2
Alemania,2002,Alemania,2,Final,16,7,5,1,1,14,3,11
Alemania,2006,Alemania,3,Partido 3er Puesto,16,7,5,1,1,14,6,8
Alemania,2010,Alemania,3,Partido 3er Puesto,15,7,5,0,2,16,5,11
Alemania,2014,Alemania,1,Final,19,7,6,1,0,18,4,14
Alemania,2018,Alemania,22,Grupos 1ra Ronda,3,3,1,0,2,2,4,-2
Alemania,2022,Alemania,17,Grupos 1ra Ronda,4,3,1,1,1,6,5,1
Alemania,1950,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1954,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1958,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1962,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1966,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1970,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1974,Alemania Oriental,6,Grupos 2da Ronda,6,6,2,2,2,5,5,0
Alemania,1978,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1982,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1986,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1990,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1994,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,1998,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,2002,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,2006,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,2010,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,2014,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,2018,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Alemania,2022,Alemania Oriental,0,no participó,0,0,0,0,0,0,0,0
Angola,1930,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1934,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1938,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1950,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1954,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1958,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1962,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1966,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1970,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1974,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1978,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1982,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1986,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1990,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1994,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,1998,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,2002,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,2006,Angola,23,Grupos 1ra Ronda,2,3,0,2,1,1,2,-1
Angola,2010,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,2014,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,2018,Angola,0,no participó,0,0,0,0,0,0,0,0
Angola,2022,Angola,0,no participó,0,0,0,0,0,0,0,0
Arabia,1930,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1934,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1938,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1950,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1954,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1958,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1962,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1966,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1970,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1974,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1978,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1982,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1986,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1990,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,1994,Arabia Saudita,12,Octavos de Final,6,4,2,0,2,5,6,-1
Arabia,1998,Arabia Saudita,28,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5
Arabia,2002,Arabia Saudita,32,Grupos 1ra Ronda,0,3,0,0,3,0,12,-12
Arabia,2006,Arabia Saudita,28,Grupos 1ra Ronda,1,3,0,1,2,2,7,-5
Arabia,2010,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,2014,Arabia Saudita,0,no participó,0,0,0,0,0,0,0,0
Arabia,2018,Arabia Saudita,26,Grupos 1ra Ronda,3,3,1,0,2,2,7,-5
Arabia,2022,Arabia Saudita,25,Grupos 1ra Ronda,3,3,1,0,2,3,5,-2
Argelia,1930,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1934,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1938,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1950,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1954,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1958,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1962,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1966,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1970,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1974,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1978,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1982,Argelia,13,Grupos 1ra Ronda,4,3,2,0,1,5,5,0
Argelia,1986,Argelia,22,Grupos 1ra Ronda,1,3,0,1,2,1,5,-4
Argelia,1990,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1994,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,1998,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,2002,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,2006,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,2010,Argelia,28,Grupos 1ra Ronda,1,3,0,1,2,0,2,-2
Argelia,2014,Argelia,14,Octavos de Final,4,4,1,1,2,7,7,0
Argelia,2018,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argelia,2022,Argelia,0,no participó,0,0,0,0,0,0,0,0
Argentina,1930,Argentina,2,Final,8,5,4,0,1,18,9,9
Argentina,1934,Argentina,9,Octavos de Final,0,1,0,0,1,2,3,-1
Argentina,1938,Argentina,0,no participó,0,0,0,0,0,0,0,0
Argentina,1950,Argentina,0,no participó,0,0,0,0,0,0,0,0
Argentina,1954,Argentina,0,no participó,0,0,0,0,0,0,0,0
Argentina,1958,Argentina,13,Grupos 1ra Ronda,2,3,1,0,2,5,10,-5
Argentina,1962,Argentina,10,Grupos 1ra Ronda,3,3,1,1,1,2,3,-1
Argentina,1966,Argentina,5,Cuartos de Final,5,4,2,1,1,4,2,2
Argentina,1970,Argentina,0,no participó,0,0,0,0,0,0,0,0
Argentina,1974,Argentina,8,Grupos 2da Ronda,4,6,1,2,3,9,12,-3
Argentina,1978,Argentina,1,Final,11,7,5,1,1,15,4,11
Argentina,1982,Argentina,11,Grupos 2da Ronda,4,5,2,0,3,8,7,1
Argentina,1986,Argentina,1,Final,13,7,6,1,0,14,5,9
Argentina,1990,Argentina,2,Final,7,7,2,3,2,5,4,1
Argentina,1994,Argentina,10,Octavos de Final,6,4,2,0,2,8,6,2
Argentina,1998,Argentina,6,Cuartos de Final,10,5,3,1,1,10,4,6
Argentina,2002,Argentina,18,Grupos 1ra Ronda,4,3,1,1,1,2,2,0
Argentina,2006,Argentina,6,Cuartos de Final,11,5,3,2,0,11,3,8
Argentina,2010,Argentina,5,Cuartos de Final,12,5,4,0,1,10,6,4
