fecha,etapa,equipo_izq,goles_izq,equipo_der,goles_der
27-May-1934,Octavos,Alemania,5,Bélgica,2
31-May-1934,Cuartos,Alemania,2,Suecia,1
03-Jun-1934,Semis,Alemania,1,Checoslovaquia,3
07-Jun-1934,3er Puesto,Alemania,3,Austria,2
04-Jun-1938,Octavos,Alemania,1,Suiza,1
09-Jun-1938,Octavos,Alemania,2,Suiza,4
17-Jun-1954,"1ra Ronda, Grupo 2",Alemania Occidental,4,Turquía,1
20-Jun-1954,"1ra Ronda, Grupo 2",Alemania Occidental,3,Hungría,8
23-Jun-1954,"1ra Ronda, Grupo 2",Alemania Occidental,7,Turquía,2
27-Jun-1954,Cuartos,Alemania Occidental,2,Yugoslavia,0
30-Jun-1954,Semis,Alemania Occidental,6,Austria,1
04-Jul-1954,Final,Alemania Occidental,3,Hungría,2
08-Jun-1958,"1ra Ronda, Grupo 1",Alemania Occidental,3,Argentina,1
11-Jun-1958,"1ra Ronda, Grupo 1",Alemania Occidental,2,Checoslovaquia,2
15-Jun-1958,"1ra Ronda, Grupo 1",Alemania Occidental,2,Irlanda del Norte,2
19-Jun-1958,Cuartos,Alemania Occidental,1,Yugoslavia,0
24-Jun-1958,Semis,Alemania Occidental,1,Suecia,3
28-Jun-1958,3er Puesto,Alemania Occidental,3,Francia,6
31-May-1962,"1ra Ronda, Grupo 2",Alemania Occidental,0,Italia,0
03-Jun-1962,"1ra Ronda, Grupo 2",Alemania Occidental,2,Suiza,1
06-Jun-1962,"1ra Ronda, Grupo 2",Alemania Occidental,2,Chile,0
10-Jun-1962,Cuartos,Alemania Occidental,0,Yugoslavia,1
12-Jul-1966,"1ra Ronda, Grupo 2",Alemania Occidental,5,Suiza,0
16-Jul-1966,"1ra Ronda, Grupo 2",Alemania Occidental,0,Argentina,0
20-Jul-1966,"1ra Ronda, Grupo 2",Alemania Occidental,2,España,1
23-Jul-1966,Cuartos,Alemania Occidental,4,Uruguay,0
25-Jul-1966,Semis,Alemania Occidental,2,URSS,1
30-Jul-1966,Final,Alemania Occidental,2,Inglaterra,4
03-Jun-1970,"1ra Ronda, Grupo 4",Alemania Occidental,2,Marruecos,1
07-Jun-1970,"1ra Ronda, Grupo 4",Alemania Occidental,5,Bulgaria,2
10-Jun-1970,"1ra Ronda, Grupo 4",Alemania Occidental,3,Perú,1
14-Jun-1970,Cuartos,Alemania Occidental,3,Inglaterra,2
17-Jun-1970,Semis,Alemania Occidental,3,Italia,4
20-Jun-1970,3er Puesto,Alemania Occidental,1,Uruguay,0
14-Jun-1974,"1ra Ronda, Grupo 1",Alemania Occidental,1,Chile,0
18-Jun-1974,"1ra Ronda, Grupo 1",Alemania Occidental,3,Australia,0
22-Jun-1974,"1ra Ronda, Grupo 1",Alemania Occidental,0,Alemania Oriental,1
26-Jun-1974,"2da Ronda, Grupo B",Alemania Occidental,2,Yugoslavia,0
30-Jun-1974,"2da Ronda, Grupo B",Alemania Occidental,4,Suecia,2
03-Jul-1974,"2da Ronda, Grupo B",Alemania Occidental,1,Polonia,0
07-Jul-1974,Final,Alemania Occidental,2,Holanda,1
01-Jun-1978,"1ra Ronda, Grupo 2",Alemania Occidental,0,Polonia,0
06-Jun-1978,"1ra Ronda, Grupo 2",Alemania Occidental,6,México,0
10-Jun-1978,"1ra Ronda, Grupo 2",Alemania Occidental,0,Túnez,0
14-Jun-1978,"2da Ronda, Grupo A",Alemania Occidental,0,Italia,0
18-Jun-1978,"2da Ronda, Grupo A",Alemania Occidental,2,Holanda,2
21-Jun-1978,"2da Ronda, Grupo A",Alemania Occidental,2,Austria,3
16-Jun-1982,"1ra Ronda, Grupo B",Alemania Occidental,1,Argelia,2
20-Jun-1982,"1ra Ronda, Grupo B",Alemania Occidental,4,Chile,1
25-Jun-1982,"1ra Ronda, Grupo B",Alemania Occidental,1,Austria,0
29-Jun-1982,"2da Ronda, Grupo 2",Alemania Occidental,0,Inglaterra,0
02-Jul-1982,"2da Ronda, Grupo 2",Alemania Occidental,2,España,1
08-Jul-1982,Semis,Alemania Occidental,3,Francia,3
11-Jul-1982,Final,Alemania Occidental,1,Italia,3
04-Jun-1986,"1ra Ronda, Grupo E",Alemania Occidental,1,Uruguay,1
08-Jun-1986,"1ra Ronda, Grupo E",Alemania Occidental,2,Escocia,1
13-Jun-1986,"1ra Ronda, Grupo E",Alemania Occidental,0,Dinamarca,2
17-Jun-1986,Octavos,Alemania Occidental,1,Marruecos,0
21-Jun-1986,Cuartos,Alemania Occidental,0,México,0
25-Jun-1986,Semis,Alemania Occidental,2,Francia,0
29-Jun-1986,Final,Alemania Occidental,2,Argentina,3
10-Jun-1990,"1ra Ronda, Grupo D",Alemania Occidental,4,Yugoslavia,1
15-Jun-1990,"1ra Ronda, Grupo D",Alemania Occidental,5,Emiratos Arabes,1
19-Jun-1990,"1ra Ronda, Grupo D",Alemania Occidental,1,Colombia,1
24-Jun-1990,Octavos,Alemania Occidental,2,Holanda,1
01-Jul-1990,Cuartos,Alemania Occidental,1,Checoslovaquia,0
04-Jul-1990,Semis,Alemania Occidental,1,Inglaterra,1
08-Jul-1990,Final,Alemania Occidental,1,Argentina,0
17-Jun-1994,"1ra Ronda, Grupo C",Alemania,1,Bolivia,0
21-Jun-1994,"1ra Ronda, Grupo C",Alemania,1,España,1
27-Jun-1994,"1ra Ronda, Grupo C",Alemania,3,Corea del Sur,2
02-Jul-1994,Octavos,Alemania,3,Bélgica,2
10-Jul-1994,Cuartos,Alemania,1,Bulgaria,2
15-Jun-1998,"1ra Ronda, Grupo F",Alemania,2,Estados Unidos,0
21-Jun-1998,"1ra Ronda, Grupo F",Alemania,2,RF de Yugoslavia,2
25-Jun-1998,"1ra Ronda, Grupo F",Alemania,2,Irán,0
29-Jun-1998,Octavos,Alemania,2,México,1
04-Jul-1998,Cuartos,Alemania,0,Croacia,3
01-Jun-2002,"1ra Ronda, Grupo E",Alemania,8,Arabia Saudita,0
05-Jun-2002,"1ra Ronda, Grupo E",Alemania,1,Irlanda,1
11-Jun-2002,"1ra Ronda, Grupo E",Alemania,2,Camerún,0
15-Jun-2002,Octavos,Alemania,1,Paraguay,0
21-Jun-2002,Cuartos,Alemania,1,Estados Unidos,0
25-Jun-2002,Semis,Alemania,1,Corea del Sur,0
30-Jun-2002,Final,Alemania,0,Brasil,2
09-Jun-2006,"1ra Ronda, Grupo A",Alemania,4,Costa Rica,2
14-Jun-2006,"1ra Ronda, Grupo A",Alemania,1,Polonia,0
20-Jun-2006,"1ra Ronda, Grupo A",Alemania,3,Ecuador,0
24-Jun-2006,Octavos,Alemania,2,Suecia,0
30-Jun-2006,Cuartos,Alemania,1,Argentina,1
04-Jul-2006,Semis,Alemania,0,Italia,2
08-Jul-2006,3er Puesto,Alemania,3,Portugal,1
13-Jun-2010,"1ra Ronda, Grupo D",Alemania,4,Australia,0
18-Jun-2010,"1ra Ronda, Grupo D",Alemania,0,Serbia,1
23-Jun-2010,"1ra Ronda, Grupo D",Alemania,1,Ghana,0
27-Jun-2010,Octavos,Alemania,4,Inglaterra,1
03-Jul-2010,Cuartos,Alemania,4,Argentina,0
07-Jul-2010,Semis,Alemania,0,España,1
10-Jul-2010,3er Puesto,Alemania,3,Uruguay,2
16-Jun-2014,"1ra Ronda, Grupo G",Alemania,4,Portugal,0
21-Jun-2014,"1ra Ronda, Grupo G",Alemania,2,Ghana,2
26-Jun-2014,"1ra Ronda, Grupo G",Alemania,1,Estados Unidos,0
30-Jun-2014,Octavos,Alemania,2,Argelia,1
04-Jul-2014,Cuartos,Alemania,1,Francia,0
08-Jul-2014,Semis,Alemania,7,Brasil,1
13-Jul-2014,Final,Alemania,1,Argentina,0
17-Jun-2018,"1ra Ronda, Grupo F",Alemania,0,México,1
23-Jun-2018,"1ra Ronda, Grupo F",Alemania,2,Suecia,1
27-Jun-2018,"1ra Ronda, Grupo F",Alemania,0,Corea del Sur,2
23-Nov-2022,"1ra Ronda, Grupo E",Alemania,1,Japón,2
27-Nov-2022,"1ra Ronda, Grupo E",Alemania,1,España,1
01-Dec-2022,"1ra Ronda, Grupo E",Alemania,4,Costa Rica,2
14-Jun-1974,"1ra Ronda, Grupo 1",Alemania Oriental,2,Australia,0
18-Jun-1974,"1ra Ronda, Grupo 1",Alemania Oriental,1,Chile,1
22-Jun-1974,"1ra Ronda, Grupo 1",Alemania Oriental,1,Alemania Occidental,0
26-Jun-1974,"2da Ronda, Grupo A",Alemania Oriental,0,Brasil,1
30-Jun-1974,"2da Ronda, Grupo A",Alemania Oriental,0,Holanda,2
03-Jul-1974,"2da Ronda, Grupo A",Alemania Oriental,1,Argentina,1
11-Jun-2006,"1ra Ronda, Grupo D",Angola,0,Portugal,1
16-Jun-2006,"1ra Ronda, Grupo D",Angola,0,México,0
21-Jun-2006,"1ra Ronda, Grupo D",Angola,1,Irán,1
20-Jun-1994,"1ra Ronda, Grupo F",Arabia Saudita,1,Holanda,2
25-Jun-1994,"1ra Ronda, Grupo F",Arabia Saudita,2,Marruecos,1
29-Jun-1994,"1ra Ronda, Grupo F",Arabia Saudita,1,Bélgica,0
03-Jul-1994,Octavos,Arabia Saudita,1,Suecia,3
12-Jun-1998,"1ra Ronda, Grupo C",Arabia Saudita,0,Dinamarca,1
18-Jun-1998,"1ra Ronda, Grupo C",Arabia Saudita,0,Francia,4
24-Jun-1998,"1ra Ronda, Grupo C",Arabia Saudita,2,Sudáfrica,2
01-Jun-2002,"1ra Ronda, Grupo E",Arabia Saudita,0,Alemania,8
06-Jun-2002,"1ra Ronda, Grupo E",Arabia Saudita,0,Camerún,1
11-Jun-2002,"1ra Ronda, Grupo E",Arabia Saudita,0,Irlanda,3
14-Jun-2006,"1ra Ronda, Grupo H",Arabia Saudita,2,Túnez,2
19-Jun-2006,"1ra Ronda, Grupo H",Arabia Saudita,0,Ucrania,4
23-Jun-2006,"1ra Ronda, Grupo H",Arabia Saudita,0,España,1
14-Jun-2018,"1ra Ronda, Grupo A",Arabia Saudita,0,Rusia,5
20-Jun-2018,"1ra Ronda, Grupo A",Arabia Saudita,0,Uruguay,1
25-Jun-2018,"1ra Ronda, Grupo A",Arabia Saudita,2,Egipto,1
22-Nov-2022,"1ra Ronda, Grupo C",Arabia Saudita,2,Argentina,1
